W 10:42:46.336   [SIDE_IO]      SIDE DISCON
I 15:43:52.838   [MAIN]         System Version: 1.0.0
I 15:43:53.851   [LAN2CAN]      Succeed to create socket
I 15:43:54.354   [DAEMON]       Succeed to start read thread
I 15:43:54.354   [DAEMON]       Succeed to start real-time thread
I 15:43:54.852   [LAN2CAN]      Succeed to connect l2c
I 15:43:56.864   [MAIN]         SYSTEM STARTING
I 16:34:08.694   [SYSTEM]       CMD Power On
I 16:34:08.929   [TOOLFLANGE]   TFB RST 92 0 1 1 145
I 16:34:08.939   [SYSTEM]       STATE POWER ENGAGED
I 16:34:09.458   [MOTOR]        BNO 5 TYP:140 MDR:1 BLM:0 SEN:1 SLE:91.196531
I 16:34:09.458   [MOTOR]        BNO 6 TYP:140 MDR:0 BLM:0 SEN:1 SLE:-0.020667
I 16:34:09.458   [MOTOR]        BNO 4 TYP:140 MDR:0 BLM:0 SEN:1 SLE:-48.500832
I 16:34:09.458   [MOTOR]        BNO 0 TYP:250 MDR:1 BLM:0 SEN:1 SLE:29.569974
I 16:34:09.458   [MOTOR]        BNO 1 TYP:250 MDR:0 BLM:0 SEN:1 SLE:20.537907
I 16:34:09.458   [MOTOR]        BNO 2 TYP:250 MDR:1 BLM:0 SEN:1 SLE:-0.005874
I 16:34:09.458   [MOTOR]        BNO 3 TYP:250 MDR:1 BLM:0 SEN:1 SLE:93.926579
I 16:34:09.980   [SYSTEM]       Servo Call: 1/1
I 16:34:09.980   [SYSTEM]       ServoState: 0
I 16:34:09.980   [SYSTEM]       ServoState: 1
I 16:34:10.010   [SYSTEM]       Motor Firmware: 0 : 1250919
I 16:34:10.010   [SYSTEM]       Motor Firmware: 1 : 1250313
I 16:34:10.010   [SYSTEM]       Motor Firmware: 2 : 1250313
I 16:34:10.010   [SYSTEM]       Motor Firmware: 3 : 1250313
I 16:34:10.010   [SYSTEM]       Motor Firmware: 4 : 1250313
I 16:34:10.010   [SYSTEM]       Motor Firmware: 5 : 1250313
I 16:34:10.010   [SYSTEM]       Motor Firmware: 6 : 1250313
I 16:34:10.010   [SYSTEM]       Side Firmware : 29
I 16:34:10.010   [SYSTEM]       ToolFlange Firmware : 92
I 16:34:10.010   [SYSTEM]       ServoState: 2
I 16:34:10.010   [SYSTEM]       ServoState: 3
I 16:34:11.571   [SYSTEM]       Motor Acts: 0[-0.171865,0.171865/0.174041]
I 16:34:11.571   [SYSTEM]       Motor Acts: 1[-0.169690,0.172083/0.174041]
I 16:34:11.571   [SYSTEM]       Motor Acts: 2[-0.171865,0.170342/0.174041]
I 16:34:11.571   [SYSTEM]       Motor Acts: 3[-0.171430,0.171865/0.174041]
I 16:34:11.571   [SYSTEM]       Motor Acts: 4[-0.115302,0.125745/0.130531]
I 16:34:11.571   [SYSTEM]       Motor Acts: 5[-0.117913,0.118130/0.130531]
I 16:34:11.571   [SYSTEM]       Motor Acts: 6[-0.121393,0.122264/0.130531]
I 16:34:11.571   [SYSTEM]       ServoState: 4
I 16:34:11.571   [SYSTEM]       ServoState: 5
I 16:34:11.571   [SYSTEM]       ServoState: 6
I 16:34:11.571   [SYSTEM]       Reference On
I 16:47:34.893   [MOTION]       Motion Mode Changed: 0->1
I 16:47:35.979   [SYSTEM]       PAUSE
I 16:47:39.983   [SYSTEM]       RESUME from PAUSE
I 16:47:41.197   [MOTION]       Motion-Time Done
I 16:47:41.197   [MOTION]       Motion Mode Changed: 1->0
