W 08:31:28.137   [TOOLFLANGE]   TFB DISCON
E 08:31:28.137   [SYSTEM]       MSG:501/MSG_TFB_DISCONNECTED_DURING_RUN
E 08:31:28.137   [SYSTEM]       COMM ERR 7
W 08:31:28.137   [SYSTEM]       CMD Power Off
I 08:31:28.137   [SYSTEM]       Reference Off
I 08:31:28.137   [SYSTEM]       ServoState: 0
W 08:31:28.141   [SIDE_IO]      SIDE DISCON
W 08:31:28.141   [SYSTEM]       CMD Power Off
I 08:31:28.141   [SYSTEM]       ServoState: 0
W 08:31:28.143   [MOTOR]        MOTOR DISCON 0
W 08:31:28.143   [MOTOR]        MOTOR DISCON 1
W 08:31:28.143   [MOTOR]        MOTOR DISCON 2
W 08:31:28.143   [MOTOR]        MOTOR DISCON 3
W 08:31:28.143   [MOTOR]        MOTOR DISCON 4
W 08:31:28.143   [MOTOR]        MOTOR DISCON 5
W 08:31:28.143   [MOTOR]        MOTOR DISCON 6
W 08:31:28.143   [SYSTEM]       MSG:100/MSG_SYSTEM_POWER_OFF
I 08:31:28.143   [SYSTEM]       STATE POWER DIS-ENGAGED
I 09:13:31.834   [MAIN]         System Version: 1.0.0
I 09:13:32.844   [LAN2CAN]      Succeed to create socket
I 09:13:33.347   [DAEMON]       Succeed to start read thread
I 09:13:33.347   [DAEMON]       Succeed to start real-time thread
I 09:13:36.860   [MAIN]         SYSTEM STARTING
I 09:16:50.710   [MOTION]       Motion Mode Changed: 0->1
I 09:16:50.714   [MOTION]       Motion-Time Done
I 09:16:50.714   [MOTION]       Motion Mode Changed: 1->0
I 09:16:50.785   [SYSTEM]       PAUSE
I 09:20:44.112   [MOTION]       Motion Mode Changed: 0->1
I 09:20:44.116   [MOTION]       Motion-Time Done
I 09:20:44.116   [MOTION]       Motion Mode Changed: 1->0
I 09:20:44.167   [SYSTEM]       PAUSE
I 09:21:42.118   [MOTION]       Motion Mode Changed: 0->1
I 09:21:42.122   [MOTION]       Motion-Time Done
I 09:21:42.122   [MOTION]       Motion Mode Changed: 1->0
I 09:21:42.200   [SYSTEM]       PAUSE
I 09:21:48.880   [SYSTEM]       RESUME from PAUSE
I 09:21:49.416   [SYSTEM]       PAUSE
I 09:24:13.717   [MOTION]       Motion Mode Changed: 0->1
I 09:24:13.720   [MOTION]       Motion-Time Done
I 09:24:13.720   [MOTION]       Motion Mode Changed: 1->0
I 09:24:13.833   [SYSTEM]       PAUSE
I 10:04:21.318   [MOTION]       Motion Mode Changed: 0->1
I 10:04:21.322   [MOTION]       Motion-Time Done
I 10:04:21.322   [MOTION]       Motion Mode Changed: 1->0
I 10:04:21.473   [SYSTEM]       PAUSE
